,Company,Year,DIVIDEND YIELD,Price,HISTORICAL VOLATILITY 5 YEARS,RETURN ON EQUITY - TOTAL (%),Environment Pillar Score,RESEARCH & DEVELOPMENT/SALES,Governance Pillar Score,Social Pillar Score,CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions
109,ALLIANZ,2020,4.98,192.88,0.3285,,,,,,
110,HERMES INTL.,2010,0.72,145.6,0.3505,21.4,41.3,,55.11,31.43,
111,HERMES INTL.,2011,0.62,243.5,0.364,26.63,41.08,,78.83,38.9,
112,HERMES INTL.,2012,3.15,222.45,0.3678,31.77,41.5,,63.05,49.78,
113,HERMES INTL.,2013,1.01,247.7,0.3099,30.57,41.54,,57.96,45.6,
114,HERMES INTL.,2014,1.05,258.05,0.2704,27.37,39.69,,41.23,36.42,
115,HERMES INTL.,2015,2.42,328.05,0.2283,27.05,53.36,,58.66,34.35,
116,HERMES INTL.,2016,0.91,369.45,0.2072,27.09,56.64,,52.27,33.46,
117,HERMES INTL.,2017,0.85,440.8999,0.1648,25.93,52.67,,56.8,46.54,
118,HERMES INTL.,2018,0.84,491.0,0.1811,26.65,52.14,,61.72,50.26,79.24
119,HERMES INTL.,2019,0.69,658.3999,0.1733,25.39,55.06,,58.29,64.92,64.99
120,HERMES INTL.,2020,0.54,842.8,0.2294,,,,,,
121,INDITEX,2010,2.09,11.47,0.3009,26.15,84.05,,69.55,77.1,2.47
122,INDITEX,2011,2.46,12.99,0.306,29.57,81.66,,53.26,77.98,2.45
123,INDITEX,2012,1.83,19.7,0.3029,28.0,90.61,,76.68,91.81,23.63
124,INDITEX,2013,1.87,23.56,0.2329,29.77,92.82,,85.08,92.51,23.01
125,INDITEX,2014,1.32,22.045,0.1978,26.87,93.68,,81.98,98.38,25.28
126,INDITEX,2015,1.59,32.705,0.1947,25.42,92.83,,81.83,97.65,34.7
127,INDITEX,2016,1.8,31.06,0.1922,26.32,94.11,,82.71,98.54,53.85
128,INDITEX,2017,2.29,29.755,0.1861,26.17,94.79,,68.31,97.22,59.88
129,INDITEX,2018,2.09,25.65,0.1981,25.7,95.45,,82.85,97.19,54.36
130,INDITEX,2019,3.31,27.98,0.1857,24.47,95.56,,81.76,96.14,58.87
131,INDITEX,2020,1.27,27.53,0.2991,24.62,,,,,
132,ENEL,2010,6.25,4.0025,0.2688,12.34,85.69,0.12,71.91,87.58,62.0
133,ENEL,2011,8.79,3.1839999999999997,0.3014,10.81,97.1,0.13,75.93,81.54,71.58
134,ENEL,2012,9.48,2.742,0.3167,2.29,96.34,0.15,68.9,79.92,71.05
135,ENEL,2013,4.55,3.2939999999999996,0.3235,9.02,95.13,0.1,72.99,82.67,73.53
136,ENEL,2014,3.52,3.694,0.2995,1.53,93.76,0.1,78.59,83.17,85.46
137,ENEL,2015,3.41,4.11,0.2858,6.88,93.66,,79.3,88.38,102.56
138,ENEL,2016,4.65,3.6519999999999997,0.2489,7.65,90.64,,79.23,93.65,100.8
139,ENEL,2017,3.68,5.295,0.2205,10.86,92.35,,80.71,92.4,663.97
140,ENEL,2018,6.04,4.5,0.1733,14.4,92.21,,82.38,93.31,711.06
141,ENEL,2019,4.37,6.862,0.1449,7.0,92.15,,78.48,92.57,656.29
142,ENEL,2020,4.05,8.089,0.2776,,,,,,
143,KERING,2010,2.87,105.0644,0.4195,9.42,96.88,,48.63,68.34,17.06
144,KERING,2011,3.17,100.8618,0.4355,9.16,98.26,,28.81,78.32,11.6
145,KERING,2012,2.64,121.0981,0.4384,9.38,98.46,,58.82,81.52,7.83
146,KERING,2013,2.28,150.4601,0.2861,0.45,97.86,,58.24,83.54,10.92
147,KERING,2014,2.35,148.6014,0.2617,4.98,96.97,,52.53,85.72,14.35
148,KERING,2015,2.44,152.5511,0.27,6.45,97.12,,34.19,81.02,13.38
149,KERING,2016,2.05,181.593,0.2563,7.32,95.66,,39.35,92.39,16.9
150,KERING,2017,1.19,358.3997,0.2406,15.38,95.34,,67.41,92.55,20.44
151,KERING,2018,1.31,389.6001,0.2553,34.0,95.86,,45.12,93.29,13.33
152,KERING,2019,1.92,545.8,0.2673,22.88,96.08,,41.17,95.75,11.05
153,KERING,2020,1.29,619.1001,0.3552,,,,,,
154,UNILEVER,2010,3.71,22.06,0.2171,31.97,88.49,2.1,82.65,85.18,
155,UNILEVER,2011,3.57,24.28,0.2207,29.55,90.64,2.17,89.79,86.64,
156,UNILEVER,2012,3.44,27.705,0.2088,30.42,94.04,1.95,89.61,86.33,842.75
157,UNILEVER,2013,3.64,28.885,0.1833,32.57,89.94,2.09,49.79,91.29,
158,UNILEVER,2014,3.55,31.655,0.158,36.94,92.32,1.97,86.86,81.19,
159,UNILEVER,2015,2.89,41.24,0.1805,33.75,85.53,1.89,96.63,82.14,1019.75
160,UNILEVER,2016,3.44,36.685,0.1818,32.61,80.97,1.86,91.15,85.16,1125.48
161,UNILEVER,2017,2.83,48.03,0.1949,40.38,86.87,1.68,79.84,95.2,948.25
162,UNILEVER,2018,3.08,49.4,0.1901,74.51,86.89,1.77,90.31,94.73,1042.95
163,UNILEVER,2019,2.98,53.48,0.1792,45.75,87.39,1.62,95.04,95.44,1029.73
164,UNILEVER,2020,3.19,51.48,0.2158,,,,,,
165,DEUTSCHE TELEKOM,2010,7.79,10.015,0.2146,4.56,73.99,0.32,44.83,84.55,1.09
166,DEUTSCHE TELEKOM,2011,7.57,9.241,0.2297,1.52,80.42,0.21,47.99,72.31,1.07
167,DEUTSCHE TELEKOM,2012,8.5,8.238,0.2207,-17.17,78.46,0.11,73.51,74.41,46.63
168,DEUTSCHE TELEKOM,2013,6.26,11.18,0.23600000000000002,3.73,80.05,0.16,67.07,74.29,45.99
169,DEUTSCHE TELEKOM,2014,3.99,12.519,0.2488,11.86,83.87,0.15,63.81,69.42,53.18
170,DEUTSCHE TELEKOM,2015,3.0,16.675,0.2619,11.87,82.59,0.16,62.57,85.81,85.41
171,DEUTSCHE TELEKOM,2016,3.82,14.4,0.2494,9.11,80.21,0.12,66.45,85.15,152.27
172,DEUTSCHE TELEKOM,2017,3.97,15.115,0.2457,11.53,81.79,0.08,52.77,86.5,181.38
173,DEUTSCHE TELEKOM,2018,4.31,15.09,0.2147,7.03,84.23,0.08,48.91,87.33,166.36
174,DEUTSCHE TELEKOM,2019,4.61,15.17,0.1789,12.35,81.54,0.06,62.26,87.94,142.01
175,DEUTSCHE TELEKOM,2020,4.04,14.85,0.2349,,,,,,
176,AIRBUS,2010,0.0,17.19,0.4492,5.71,83.97,6.42,32.25,80.88,
177,AIRBUS,2011,1.0,22.0,0.4317,11.68,93.03,6.42,32.8,76.76,18.87
178,AIRBUS,2012,1.79,25.17,0.4351,12.75,96.34,5.56,43.86,85.46,3.35
179,AIRBUS,2013,1.15,51.95,0.3379,13.68,94.43,5.33,45.06,81.41,
180,AIRBUS,2014,1.55,48.455,0.3044,26.14,95.3,5.59,43.91,76.75,
181,AIRBUS,2015,1.89,63.46,0.3275,41.39,96.73,5.37,60.7,76.31,
182,AIRBUS,2016,2.37,54.82,0.3184,20.68,97.79,4.46,46.24,75.18,
183,AIRBUS,2017,1.58,85.49,0.2965,33.79,95.78,4.2,35.13,85.75,
184,AIRBUS,2018,1.61,92.89,0.2658,29.85,95.44,5.05,60.18,85.48,
185,AIRBUS,2019,1.21,136.4,0.2582,-17.35,94.65,4.76,57.63,84.7,
186,AIRBUS,2020,0.0,90.0,0.4305,,,,,,
187,DAIMLER,2010,0.0,49.565,0.3585,13.5,91.17,3.55,81.83,93.35,237.54
188,DAIMLER,2011,5.7,32.43,0.3986,14.91,90.73,3.91,83.01,95.38,319.11
189,DAIMLER,2012,6.17,35.658,0.3997,14.6,91.43,3.64,93.05,97.87,1.03
190,DAIMLER,2013,3.75,58.733000000000004,0.3336,15.81,91.63,3.46,92.44,97.99,259.99
191,DAIMLER,2014,3.68,61.193000000000005,0.3313,16.13,87.66,3.46,85.57,96.53,300.76
192,DAIMLER,2015,3.21,76.258,0.3373,17.33,92.41,3.16,87.98,96.09,343.09
193,DAIMLER,2016,5.02,64.796,0.2839,15.29,87.32,3.41,91.47,96.04,445.8
194,DAIMLER,2017,4.67,69.57600000000001,0.244,17.26,92.77,3.56,84.91,95.44,363.09
195,DAIMLER,2018,7.2,50.7,0.2195,11.28,92.87,3.89,86.53,95.34,413.34
196,DAIMLER,2019,6.43,50.52,0.2343,3.77,96.33,3.79,95.05,88.95,
197,DAIMLER,2020,1.68,53.51,0.396,,,,,,
198,IBERDROLA,2010,5.59,3.4635,0.2647,10.31,92.5,,63.48,85.89,577.17
199,IBERDROLA,2011,7.0,3.012,0.2665,9.05,93.36,,76.35,85.25,649.13
200,IBERDROLA,2012,8.68,2.6324,0.2677,8.52,93.64,,77.11,79.07,647.58
201,IBERDROLA,2013,6.07,3.4619999999999997,0.2471,7.53,93.37,,71.92,82.48,2796.56
202,IBERDROLA,2014,4.93,4.2314,0.2411,6.68,89.77,,81.84,88.31,2723.59
203,IBERDROLA,2015,4.2,5.1724,0.21899999999999997,6.72,90.66,,80.88,89.83,824.32
204,IBERDROLA,2016,5.17,4.6712,0.2017,7.33,88.56,,72.23,90.12,606.51
205,IBERDROLA,2017,4.84,5.7139999999999995,0.1563,7.77,92.1,,76.73,90.96,1500.2
206,IBERDROLA,2018,5.04,6.1335,0.1328,8.36,91.67,,68.64,90.04,1268.1
207,IBERDROLA,2019,4.17,8.4672,0.1348,9.17,92.24,0.77,56.14,90.01,1200.5
208,IBERDROLA,2020,3.52,11.35,0.2131,,,,,,
209,SCHNEIDER ELECTRIC,2010,2.02,50.65,0.3231,12.97,77.88,2.63,56.99,62.3,22.04
210,SCHNEIDER ELECTRIC,2011,4.04,39.615,0.3363,11.86,57.6,3.87,63.84,63.36,40.45
211,SCHNEIDER ELECTRIC,2012,3.52,48.335,0.3551,11.32,55.17,3.86,79.82,62.07,13.66
212,SCHNEIDER ELECTRIC,2013,3.03,61.66,0.2813,11.15,58.11,4.86,74.01,64.44,15.05
213,SCHNEIDER ELECTRIC,2014,3.03,61.74,0.2674,10.51,57.4,4.86,67.26,63.77,16.41
214,SCHNEIDER ELECTRIC,2015,3.4,56.44,0.2695,6.93,60.56,3.38,47.59,82.17,20.47
215,SCHNEIDER ELECTRIC,2016,3.23,61.95,0.2559,8.47,59.55,3.75,50.0,84.0,22.12
216,SCHNEIDER ELECTRIC,2017,2.85,71.49,0.2127,10.67,59.88,3.57,43.52,84.05,22.18
217,SCHNEIDER ELECTRIC,2018,3.44,63.96,0.2003,11.5,63.39,3.83,66.9,82.79,23.11
218,SCHNEIDER ELECTRIC,2019,2.89,88.14,0.2032,11.4,66.73,3.92,42.93,84.78,20.65
219,SCHNEIDER ELECTRIC,2020,2.17,117.5,0.2487,,,,,,
220,CHRISTIAN DIOR,2010,1.97,94.8851,0.3248,18.06,49.04,0.22,24.19,61.77,
221,CHRISTIAN DIOR,2011,2.3,85.7708,0.3374,14.76,55.92,0.26,30.62,71.95,24.76
222,CHRISTIAN DIOR,2012,2.42,100.4089,0.3437,13.19,48.17,0.24,33.23,61.62,
223,CHRISTIAN DIOR,2013,1.75,129.1863,0.2525,14.45,43.73,0.27,36.38,70.04,
224,CHRISTIAN DIOR,2014,2.13,129.3644,0.2484,12.4,46.56,0.24,45.3,66.66,8.4
225,CHRISTIAN DIOR,2015,1.83,174.45,0.2456,21.38,45.7,0.25,19.62,69.62,10.26
226,CHRISTIAN DIOR,2016,2.03,174.9,0.2409,19.14,49.62,0.28,40.52,71.84,10.2
227,CHRISTIAN DIOR,2017,1.0,300.1001,0.23800000000000002,18.2,58.85,0.3,33.0,76.66,11.06
228,CHRISTIAN DIOR,2018,1.61,335.7,0.2259,19.06,71.35,0.28,48.9,81.82,12.89
229,CHRISTIAN DIOR,2019,1.32,470.6001,0.2159,23.39,77.13,0.26,43.7,81.37,12.69
230,CHRISTIAN DIOR,2020,1.09,421.8,0.3117,,,,,,
231,ADIDAS,2010,0.74,47.58,0.2992,13.52,88.03,0.85,85.92,87.19,2.06
232,ADIDAS,2011,1.56,51.19,0.3152,13.5,91.92,0.86,85.53,93.61,3.02
233,ADIDAS,2012,1.59,62.945,0.3149,10.08,89.5,0.86,90.94,93.79,2.44
234,ADIDAS,2013,1.54,87.62200000000001,0.2503,14.58,91.05,0.88,83.01,94.77,3.79
235,ADIDAS,2014,2.38,63.05,0.2541,8.82,87.82,0.87,80.84,90.48,
236,ADIDAS,2015,1.74,85.961,0.2759,11.23,89.79,0.82,87.69,97.48,
237,ADIDAS,2016,1.16,137.333,0.2726,16.76,89.91,0.85,76.81,95.43,
238,ADIDAS,2017,1.08,184.851,0.2765,16.98,87.11,0.88,71.87,94.55,
239,ADIDAS,2018,1.29,202.0,0.2779,26.54,87.15,0.7,76.37,94.01,
240,ADIDAS,2019,1.25,267.05,0.2466,30.0,88.5,0.64,83.57,93.62,
241,ADIDAS,2020,0.0,274.4,0.3474,,,,,,
242,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2010,2.32,60.4722,0.2015,17.03,74.65,1.74,87.95,38.72,14.41
243,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2011,2.65,59.0353,0.2111,16.45,64.87,1.74,82.63,41.37,14.69
244,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2012,2.52,66.0146,0.2005,16.12,62.74,1.23,84.77,37.82,2.47
245,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2013,2.47,74.0936,0.1659,15.76,62.35,1.22,83.55,36.99,3.82
246,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2014,2.39,78.1623,0.1591,15.03,63.81,1.21,84.25,37.8,4.41
247,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2015,2.11,97.0789,0.1685,14.67,56.02,1.17,81.55,61.15,8.73
248,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2016,2.78,77.1736,0.1767,12.65,53.35,1.11,77.63,54.0,7.87
249,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2017,2.24,95.8181,0.1789,13.31,55.02,0.9,85.55,59.07,8.19
250,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2018,2.51,95.8636,0.1777,12.39,54.82,0.93,89.95,68.04,8.71
251,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2019,1.98,121.4,0.1669,12.23,54.49,0.91,93.59,87.34,8.75
252,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,2020,1.96,137.85,0.2387,,,,,,
253,BASF,2010,3.09,55.09,0.274,23.44,87.44,2.34,85.74,90.49,1544.89
254,BASF,2011,4.34,50.7,0.3188,27.17,88.44,2.18,87.4,87.86,1596.98
255,BASF,2012,3.98,62.808,0.3194,20.03,87.82,2.22,82.82,90.93,1357.21
256,BASF,2013,3.34,77.87100000000001,0.2577,18.72,89.81,2.48,79.11,89.91,
257,BASF,2014,3.9,69.315,0.2604,18.86,90.67,2.53,81.13,92.37,
258,BASF,2015,3.74,74.78,0.2688,13.62,92.11,2.77,87.69,82.27,
259,BASF,2016,3.58,80.92699999999999,0.2289,12.93,89.42,3.24,81.61,78.61,
260,BASF,2017,3.23,92.902,0.21,18.52,90.62,2.93,84.14,74.09,
261,BASF,2018,4.45,69.61,0.2023,13.67,91.79,3.24,80.44,91.98,1708.5
262,BASF,2019,4.54,70.47,0.2177,22.0,90.62,3.64,71.44,92.58,1503.91
263,BASF,2020,5.78,57.1,0.3136,,,,,,
264,BMW,2010,0.55,54.65,0.3077,14.98,90.3,4.59,90.99,82.14,472.02
265,BMW,2011,2.31,56.19,0.3379,19.16,95.8,4.9,86.85,83.39,629.21
266,BMW,2012,3.71,61.93899999999999,0.3494,17.78,93.34,5.14,87.26,77.43,599.07
267,BMW,2013,3.07,81.531,0.2932,16.11,93.32,4.01,86.5,84.58,598.84
268,BMW,2014,3.14,82.899,0.2834,15.97,93.18,3.81,79.92,83.63,672.95
269,BMW,2015,3.06,94.90799999999999,0.2907,15.97,94.93,3.37,77.6,82.74,674.64
270,BMW,2016,3.95,80.94,0.2797,15.31,95.41,3.26,81.69,81.77,700.94
271,BMW,2017,4.1,85.45100000000001,0.2458,17.03,96.31,3.73,75.5,83.85,608.27
272,BMW,2018,5.39,74.23,0.2438,12.8,97.67,4.01,75.22,81.46,658.0
273,BMW,2019,4.69,74.7,0.2435,8.43,98.24,4.11,82.77,84.01,642.38
274,BMW,2020,3.47,72.09,0.3442,,,,,,
275,BNP PARIBAS,2010,2.91,51.53,0.3525,10.45,90.93,,92.04,59.99,2.53
276,BNP PARIBAS,2011,7.03,29.865,0.3917,7.69,87.99,,75.67,66.06,2.71
277,BNP PARIBAS,2012,3.06,39.255,0.4269,7.78,89.19,,86.42,78.28,1.42
278,BNP PARIBAS,2013,2.75,54.48,0.409,5.29,90.39,,85.84,79.05,1.28
279,BNP PARIBAS,2014,3.15,47.55,0.35,-0.1,91.99,,78.81,79.08,1.48
280,BNP PARIBAS,2015,2.7,55.5,0.3323,7.46,91.89,,85.33,96.3,1.64
281,BNP PARIBAS,2016,4.26,54.18,0.2927,8.27,88.19,,86.49,97.14,1.61
282,BNP PARIBAS,2017,4.23,63.79,0.2394,8.1,95.42,,91.65,97.32,1.85
283,BNP PARIBAS,2018,6.68,45.195,0.2256,7.75,96.07,,85.26,95.7,2.14
284,BNP PARIBAS,2019,5.96,50.63,0.2271,8.07,,,,,
285,BNP PARIBAS,2020,0.0,40.6,0.4166,,,,,,
286,BAYER,2010,2.54,54.233,0.2744,6.9,75.87,8.7,50.99,91.39,575.47
